Stock,Predecision
ZIONN,FALSE
FVRR,#N/A
UA,#N/A
UAA,#N/A
IONS,FALSE
XLRN,#N/A
SEE,FALSE
EEFT,FALSE
SC,FALSE
BL,#N/A
CASY,FALSE
BHC,#N/A
ACI,#N/A
PAA,#N/A
RP,FALSE
XLE,#N/A
FRT,FALSE
RL,#N/A
KNX,FALSE
DOOO,#N/A
LECO,FALSE
COLD,#N/A
NNN,FALSE
CVE,#N/A
ERJ,#N/A
DCI,FALSE
AXTA,FALSE
ADT,#N/A
YY,TRUE
CLR,#N/A
CAE,FALSE
LINX,#N/A
PSO,FALSE
SPYG,#N/A
IYW,#N/A
PRGO,#N/A
AGCO,TRUE
HII,FALSE
WF,FALSE
KIM,FALSE
LITE,FALSE
SPCE,#N/A
SYNH,TRUE
ARWR,#N/A
MNSO,#N/A
SBNY,FALSE
EWBC,FALSE
VEDL,#N/A
TMX,FALSE
MANH,FALSE
ITT,FALSE
CD,#N/A
OEF,#N/A
AMWL,#N/A
OGE,#N/A
HLF,FALSE
MCFE,#N/A
GLPG,#N/A
PSXP,FALSE
TTEK,FALSE
COG,FALSE
ALK,#N/A
WES,FALSE
ADPT,#N/A
PVH,#N/A
PLNT,FALSE
VRT,#N/A
HRC,FALSE
PFGC,#N/A
PAAS,FALSE
SRCL,#N/A
NLSN,#N/A
BBIO,#N/A
DVN,#N/A
CUBE,FALSE
REYN,#N/A
GRUB,#N/A
BZUN,FALSE
DXC,#N/A
LHCG,FALSE
PFPT,#N/A
IOVA,#N/A
KOD,#N/A
QTWO,#N/A
SMIN,#N/A
CACI,FALSE
TFII,#N/A
FROG,#N/A
POST,FALSE
XBI,#N/A
AIV,FALSE
PRF,#N/A
PB,FALSE
CDK,FALSE
TRGP,#N/A
HOG,FALSE
JEF,FALSE
JBL,FALSE
TOL,FALSE
SON,FALSE
FOLD,#N/A
CLGX,TRUE
LFUS,FALSE
ANGI,FALSE
CHH,FALSE
EWY,#N/A
GMED,FALSE
PHI,FALSE
PII,FALSE
MSA,FALSE
VDC,#N/A
REXR,FALSE
NTNX,#N/A
SITE,FALSE
COTY,#N/A
UTHR,FALSE
AN,FALSE
LEG,FALSE
PAC,FALSE
CPRI,#N/A
CWEN,FALSE
CWEN.A,FALSE
BC,FALSE
PE,#N/A
KT,FALSE
EXEL,TRUE
TNDM,#N/A
JHG,FALSE
TX,FALSE
HAE,FALSE
ACC,FALSE
CACC,FALSE
VAC,#N/A
TWST,#N/A
FCNCA,FALSE
FCNCP,#N/A
OSK,FALSE
SKX,FALSE
BPMC,TRUE
LSCC,FALSE
COLM,FALSE
ALLK,#N/A
APA,#N/A
ORI,FALSE
SQM,FALSE
DEI,FALSE
SAIC,FALSE
IHI,#N/A
SSL,#N/A
NOV,#N/A
HTA,FALSE
PSTG,#N/A
TKR,FALSE
AER,#N/A
HUN,FALSE
APPF,FALSE
WAL,FALSE
WALA,#N/A
PBCT,FALSE
PBCTP,FALSE
FAF,FALSE
WH,#N/A
HESM,FALSE
FUTU,#N/A
VNT,#N/A
BRKS,FALSE
TXRH,FALSE
KNSL,FALSE
NVRO,#N/A
AAXJ,#N/A
LPL,#N/A
PRI,FALSE
TCF,FALSE
TCFCP,#N/A
BWXT,FALSE
FRPT,FALSE
YETI,#N/A
CFR,FALSE
GIL,#N/A
DCT,#N/A
STWD,FALSE
INGR,FALSE
HQY,#N/A
CHNG,#N/A
HALO,FALSE
BLDP,#N/A
OMF,FALSE
FR,FALSE
SLAB,FALSE
LSI,#N/A
MRO,#N/A
FLIR,FALSE
BLD,TRUE
INSP,#N/A
MAT,#N/A
ESLT,TRUE
HELE,FALSE
ENIC,#N/A
PGX,#N/A
NEO,#N/A
EGP,FALSE
BJ,#N/A
MAN,FALSE
THO,TRUE
ALGM,#N/A
FATE,#N/A
AZEK,#N/A
BHVN,#N/A
OLLI,TRUE
COR,FALSE
RDFN,#N/A
AUY,FALSE
BLI,#N/A
IRTC,#N/A
NATI,FALSE
PSTH,#N/A
TPX,FALSE
TPL,FALSE
AMLP,#N/A
ORCC,#N/A
TPTX,#N/A
NVST,#N/A
ESNT,FALSE
TNET,FALSE
BIGC,#N/A
SSB,FALSE
EFG,#N/A
SF,FALSE
SFB,#N/A
LSTR,FALSE
CUZ,FALSE
JOBS,FALSE
MPLN,#N/A
PPC,FALSE
KMPR,FALSE
MDU,FALSE
FXI,#N/A
CW,FALSE
DKS,TRUE
IJT,FALSE
CLF,#N/A
FOUR,#N/A
BOKF,FALSE
BOKFL,#N/A
WEN,FALSE
FFIN,FALSE
JWN,#N/A
UNM,FALSE
UNMA,#N/A
TFSL,FALSE
WSC,FALSE
MEDP,FALSE
HBI,TRUE
SNV,FALSE
BRX,FALSE
NXST,FALSE
DSGX,FALSE
AL,FALSE
EME,FALSE
WPX,#N/A
TV,#N/A
SOXX,FALSE
RETA,#N/A
NYCB,FALSE
LMND,#N/A
ONEM,#N/A
CRUS,FALSE
SAIA,FALSE
BB,#N/A
FSR,#N/A
IART,FALSE
FLO,FALSE
ITA,#N/A
IMVT,#N/A
RBC,TRUE
LANC,FALSE
ALLO,#N/A
BYD,#N/A
SPTM,#N/A
PAG,FALSE
MSM,FALSE
SHI,#N/A
SMTC,FALSE
RLAY,#N/A
HXL,FALSE
QRTEA,TRUE
QRTEB,TRUE
QRTEP,#N/A
RXN,FALSE
BE,#N/A
SLG,FALSE
HLI,FALSE
FLS,FALSE
